Roll Number,Q1W,Q1E,Q2W,Q2E,Q3W,Q3E,Q4W,Q4E,Q5W,Q5E
2301186,0,5,0,15,1000,1000,0,18,1000,1000
2301043,0,0,0,0,1000,1000,1000,1000,0,0
2301072,1000,1000,0,2,1000,1000,0,1,0,1
2301245,0,1,0,0,0,0,1000,1000,1000,1000
2301213,0,1,0,0,1000,1000,1000,1000,0,0
2301147,0,0,1,2,0,0,1000,1000,1000,1000
2301099,1000,1000,0,0,0,4,0,0,1000,1000
2301207,1,0,1000,1000,1,3,1000,1000,1,0
2301233,1000,1000,0,0,0,0,1000,1000,0,0
2301173,0,0,0,7,0,0,1000,1000,1000,1000
2301095,0,0,0,18,1000,1000,1000,1000,0,0
2301174,1000,1000,0,0,0,0,0,1,1000,1000
2301108,0,0,0,5,1000,1000,0,5,1000,1000
2301231,1000,1000,0,7,0,0,1,4,1000,1000
2301049,0,0,0,0,0,0,1000,1000,1000,1000
2301175,0,0,0,0,0,1,1000,1000,1000,1000
2301117,0,0,0,0,1000,1000,0,4,1000,1000
2301209,1000,1000,0,3,0,5,0,8,1000,1000
2301015,0,0,1000,1000,0,1,1,0,1000,1000
2301223,0,1,0,0,0,2,1000,1000,1000,1000
2301098,1000,1000,1,0,1000,1000,1000,1000,1,1
2301132,1000,1000,2,4,1,2,1,1,1000,1000
2301081,1,1,1,0,0,0,1000,1000,1000,1000
2301185,1,0,2,1,3,4,1000,1000,1000,1000
2301041,0,0,1,0,0,2,1000,1000,1000,1000
2301189,0,0,0,0,0,0,1000,1000,1000,1000
2301236,1000,1000,0,1,1000,1000,0,1,0,1
2301249,1,5,1,1,2,2,1000,1000,1000,1000
2301180,0,2,0,4,0,3,1000,1000,1000,1000
2301203,2,0,0,1,0,20,1000,1000,1000,1000
2301138,1000,1000,0,0,2,2,1,0,1000,1000
2301035,1000,1000,2,8,1,2,1000,1000,1000,1000
2301182,0,1,1,0,1000,1000,1000,1000,0,0
2301111,1,3,1,4,1,6,1000,1000,1000,1000
2301237,1,0,2,0,1000,1000,1000,1000,1,0
2301006,1000,1000,1,9,1,4,0,11,1000,1000
2301068,0,1,0,1,1,5,1000,1000,1000,1000
2301193,1,0,1000,1000,0,1,1000,1000,1000,1000
2301123,0,3,0,2,0,0,1000,1000,1000,1000
2301235,0,0,0,0,0,0,1000,1000,1000,1000
2301154,0,0,0,0,1000,1000,0,1,1000,1000
2301091,0,14,0,20,0,17,1000,1000,1000,1000
2301053,0,0,0,1,0,0,1000,1000,1000,1000
2301226,1000,1000,0,3,1000,1000,0,0,0,0
2301076,0,0,0,0,0,0,1000,1000,1000,1000
2301150,5,2,3,1,4,2,1000,1000,1000,1000
2301159,0,0,0,0,1000,1000,1000,1000,0,0
2301097,1000,1000,1,0,1,0,1000,1000,2,0
2301148,1,0,1,0,2,0,1000,1000,1000,1000
2301089,0,1,1,0,1000,1000,0,0,1000,1000
2301023,0,7,1000,1000,1000,1000,1000,1000,1000,1000
2301244,1000,1000,1,0,0,0,1000,1000,0,0
2301227,0,0,0,0,1000,1000,0,0,1000,1000
2301136,1000,1000,2,2,0,1,0,4,1000,1000
2301071,0,0,0,0,0,0,1000,1000,1000,1000
2301077,0,0,0,1,1000,1000,1000,1000,1000,1000
2301020,1,2,1,0,2,3,1000,1000,1000,1000
2301010,1,10,0,0,1,15,1000,1000,1000,1000
2301118,1000,1000,1,15,1,3,1,12,1000,1000
2301040,1,0,1,0,1000,1000,1,0,1000,1000
2301083,0,0,0,0,0,2,1000,1000,1000,1000
2301239,0,1,0,0,1000,1000,1000,1000,1000,1000
2301070,0,0,1000,1000,0,0,0,0,1000,1000
2301212,1000,1000,0,0,0,0,1000,1000,0,0
2301206,0,0,0,0,1000,1000,0,0,1000,1000
2301215,1000,1000,1000,1000,4,4,1000,1000,1000,1000
